2022-09-07+02:00 20:25:16
SRC_ADDR                  | DST_ADDR                  | SRC_PORT        | DST_PORT        | TOTAL_BYTES     | START_TIMESTAMP                | END_TIMESTAMP                  | PROTOCOL  
10.0.2.15                 | 192.168.1.1               | 46684           | 53              | 94              | 1662574613.722919              | 1662574613.722919              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55710           | 114             | 1662574631.909973              | 1662574631.909973              | UDP                            
10.0.2.15                 | 192.168.1.1               | 47368           | 53              | 87              | 1662574635.633667              | 1662574635.633667              | UDP                            
31.13.86.4                | 10.0.2.15                 | 443             | 46278           | 97508           | 1662574636.822135              | 1662574755.475302              | TCP                            
10.0.2.15                 | 192.168.1.1               | 55710           | 53              | 114             | 1662574631.902364              | 1662574631.902364              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 60620           | 94              | 1662574642.792421              | 1662574642.792421              | UDP                            
142.250.180.162           | 10.0.2.15                 | 443             | 41088           | 11147           | 1662574625.165424              | 1662574646.193730              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 45484           | 94              | 1662574619.738746              | 1662574619.738746              | UDP                            
10.0.2.15                 | 20.189.173.14             | 54704           | 443             | 4619            | 1662574717.447258              | 1662574718.665974              | TCP                            
10.0.2.15                 | 192.168.1.1               | 46290           | 53              | 91              | 1662574619.714656              | 1662574619.714656              | UDP                            
10.0.2.15                 | 31.13.86.4                | 46278           | 443             | 2865            | 1662574636.810009              | 1662574755.475320              | TCP                            
10.0.2.15                 | 192.168.1.1               | 55684           | 53              | 113             | 1662574727.204623              | 1662574727.204623              | UDP                            
10.0.2.15                 | 192.168.1.1               | 51559           | 53              | 84              | 1662574621.133167              | 1662574621.133167              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 38068           | 233             | 1662574616.318126              | 1662574616.318126              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 37549           | 81              | 1662574617.645861              | 1662574617.645861              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 51559           | 84              | 1662574621.150121              | 1662574621.150121              | UDP                            
10.0.2.15                 | 192.168.1.1               | 35246           | 53              | 94              | 1662574642.990318              | 1662574642.990318              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 53325           | 89              | 1662574635.727488              | 1662574635.727488              | UDP                            
10.0.2.15                 | 20.189.173.14             | 54706           | 443             | 10332           | 1662574724.996511              | 1662574725.735578              | TCP                            
10.0.2.15                 | 192.168.1.1               | 60591           | 53              | 113             | 1662574727.207533              | 1662574727.207533              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 40542           | 100             | 1662574735.331309              | 1662574735.331309              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 49083           | 300             | 1662574621.108660              | 1662574621.108660              | UDP                            
10.0.2.15                 | 192.168.1.1               | 50309           | 53              | 113             | 1662574747.440288              | 1662574747.440288              | UDP                            
10.0.2.15                 | 192.168.1.1               | 51044           | 53              | 103             | 1662574743.126970              | 1662574743.126970              | UDP                            
20.189.173.14             | 10.0.2.15                 | 443             | 54704           | 6338            | 1662574717.648373              | 1662574718.666400              | TCP                            
142.250.184.67            | 10.0.2.15                 | 80              | 40592           | 2470            | 1662574622.438790              | 1662574739.178493              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55138           | 94              | 1662574642.964365              | 1662574642.964365              | UDP                            
10.0.2.15                 | 192.168.1.1               | 40542           | 53              | 100             | 1662574735.324418              | 1662574735.324418              | UDP                            
10.0.2.15                 | 104.208.16.90             | 47088           | 443             | 10281           | 1662574772.612951              | 1662574773.397564              | TCP                            
10.0.2.15                 | 192.168.1.1               | 41378           | 53              | 101             | 1662574616.224516              | 1662574616.224516              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 37679           | 94              | 1662574615.347694              | 1662574615.347694              | UDP                            
10.0.2.15                 | 142.250.180.142           | 33945           | 443             | 3224            | 1662574623.669055              | 1662574640.578992              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55821           | 114             | 1662574621.391907              | 1662574621.391907              | UDP                            
10.0.2.15                 | 192.168.1.1               | 40081           | 53              | 94              | 1662574615.427487              | 1662574615.427487              | UDP                            
10.0.2.15                 | 192.168.1.1               | 39345           | 53              | 94              | 1662574642.800103              | 1662574642.800103              | UDP                            
10.0.2.15                 | 192.168.1.1               | 36236           | 53              | 91              | 1662574619.715395              | 1662574619.715395              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 35436           | 114             | 1662574621.816604              | 1662574621.816604              | UDP                            
10.0.2.15                 | 192.168.1.1               | 44362           | 53              | 86              | 1662574618.823230              | 1662574618.823230              | UDP                            
10.0.2.15                 | 31.13.86.36               | 41294           | 443             | 2546            | 1662574635.656197              | 1662574636.439460              | TCP                            
10.0.2.15                 | 192.168.1.1               | 51546           | 53              | 88              | 1662574635.712223              | 1662574635.712223              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 50989           | 111             | 1662574621.128404              | 1662574621.128404              | UDP                            
